n,a,b,c,f(a),f(b),f(c),Rel. Err.,
0,1,2,1.88235,3,-0.4,0.200896,
1,1,1.88235,1.94568,3,0.200896,-0.122407,0.0325478,
2,1.94568,1.88235,1.9217,-0.122407,0.200896,0.000189197,0.0124768,
3,1.94568,1.9217,1.92174,-0.122407,0.000189197,1.07848e-07,1.92545e-05,
