n,Xn,Xn+1,f(Xn),f'(Xn),f(Xn+1),Rel. Err.,
0,3,5.13333,-3.2,1.5,48.0901,
1,5.13333,4.26975,48.0901,55.6867,12.9562,0.202256,
2,4.26975,3.79293,12.9562,27.1724,2.9476,0.125712,
3,3.79293,3.59982,2.9476,15.2634,0.397973,0.0536458,
4,3.59982,3.56434,0.397973,11.2164,0.0123726,0.00995451,
5,3.56434,3.56316,0.0123726,10.5215,1.33908e-05,0.000330025,
6,3.56316,3.56316,1.33908e-05,10.4988,1.57669e-11,3.57958e-07,
