n,a,b,c,f(a),f(b),f(c),Rel. Err.,
0,1,2,1.5,3,-0.4,1.975,
1,1.5,2,1.75,1.975,-0.4,0.8625,0.142857,
2,1.75,2,1.875,0.8625,-0.4,0.238281,0.0666667,
3,1.875,2,1.9375,0.238281,-0.4,-0.0805664,0.0322581,
4,1.875,1.9375,1.90625,0.238281,-0.0805664,0.0791138,0.0163934,
5,1.90625,1.9375,1.92188,0.0791138,-0.0805664,-0.00068512,0.00813008,
6,1.90625,1.92188,1.91406,0.0791138,-0.00068512,0.0392275,0.00408163,
7,1.91406,1.92188,1.91797,0.0392275,-0.00068512,0.0192741,0.00203666,
8,1.91797,1.92188,1.91992,0.0192741,-0.00068512,0.00929519,0.00101729,
9,1.91992,1.92188,1.9209,0.00929519,-0.00068512,0.0043052,0.000508388,
10,1.9209,1.92188,1.92139,0.0043052,-0.00068512,0.00181008,0.00025413,
11,1.92139,1.92188,1.92163,0.00181008,-0.00068512,0.000562491,0.000127049,
12,1.92163,1.92188,1.92175,0.000562491,-0.00068512,-6.13119e-05,6.35203e-05,
