n,a,b,c,f(a),f(b),f(c),Rel. Err.,
0,0,1,0.625,-5,3,1.98047,
1,0,0.625,0.447678,-5,1.98047,0.758479,0.396094,
2,0,0.447678,0.388712,-5,0.758479,0.229831,0.151696,
3,0,0.388712,0.371629,-5,0.229831,0.0646216,0.0459663,
4,0,0.371629,0.366888,-5,0.0646216,0.0177849,0.0129243,
5,0,0.366888,0.365587,-5,0.0177849,0.00486578,0.00355698,
6,0,0.365587,0.365232,-5,0.00486578,0.00132908,0.000973157,
7,0,0.365232,0.365135,-5,0.00132908,0.000362874,0.000265815,
8,0,0.365135,0.365108,-5,0.000362874,9.90622e-05,7.25747e-05,
