n,a,b,c,f(a),f(b),f(c),Rel. Err.,
0,2,4,3,-0.4,6.6,-3.2,
1,3,4,3.5,-3.2,6.6,-0.625,0.142857,
2,3.5,4,3.75,-0.625,6.6,2.3125,0.0666667,
3,3.5,3.75,3.625,-0.625,2.3125,0.686719,0.0344828,
4,3.5,3.625,3.5625,-0.625,0.686719,-0.00693359,0.0175439,
5,3.5625,3.625,3.59375,-0.00693359,0.686719,0.330261,0.00869565,
6,3.5625,3.59375,3.57812,-0.00693359,0.330261,0.159279,0.00436681,
7,3.5625,3.57812,3.57031,-0.00693359,0.159279,0.0755793,0.00218818,
8,3.5625,3.57031,3.56641,-0.00693359,0.0755793,0.0341748,0.00109529,
9,3.5625,3.56641,3.56445,-0.00693359,0.0341748,0.0135837,0.000547945,
10,3.5625,3.56445,3.56348,-0.00693359,0.0135837,0.00331581,0.000274048,
11,3.5625,3.56348,3.56299,-0.00693359,0.00331581,-0.0018112,0.000137043,
12,3.56299,3.56348,3.56323,-0.0018112,0.00331581,0.000751727,6.85166e-05,
